# time (h), sH1N1 (log10 [SIN/ml])
0.000000000000000000e+00 4.503294228765823526e+00
0.000000000000000000e+00 5.089317098655402383e+00
0.000000000000000000e+00 4.856514436775036359e+00
1.000000000000000000e+00 5.663262661766446548e+00
1.000000000000000000e+00 6.503382824943662044e+00
1.000000000000000000e+00 6.089364220411995987e+00
2.000000000000000000e+00 5.856539491103008643e+00
2.000000000000000000e+00 6.089364220411995987e+00
2.000000000000000000e+00 5.663262661766446548e+00
3.500000000000000000e+00 5.663262661766446548e+00
3.500000000000000000e+00 6.663415518860784204e+00
3.500000000000000000e+00 5.856539491103008643e+00
4.629999999999999893e+00 6.089364220411995987e+00
4.629999999999999893e+00 5.663262661766446548e+00
4.629999999999999893e+00 6.089364220411995987e+00
5.650000000000000355e+00 7.089835930414249532e+00
5.650000000000000355e+00 6.663415518860784204e+00
5.650000000000000355e+00 6.663415518860784204e+00
7.169999999999999929e+00 6.663415518860784204e+00
7.169999999999999929e+00 6.503382824943662044e+00
7.169999999999999929e+00 6.856790189518835454e+00
8.619999999999999218e+00 6.856790189518835454e+00
8.619999999999999218e+00 6.503382824943662044e+00
8.619999999999999218e+00 6.856790189518835454e+00
9.900000000000000355e+00 6.663262684158012483e+00
9.900000000000000355e+00 6.856539468661569714e+00
9.900000000000000355e+00 7.351944127392940231e+00
1.100000000000000000e+01 7.089364229541153861e+00
1.100000000000000000e+01 6.856539468661569714e+00
1.100000000000000000e+01 6.503302277874528414e+00
1.200000000000000000e+01 7.089364229541153861e+00
1.200000000000000000e+01 6.856539468661569714e+00
1.200000000000000000e+01 7.089364229541153861e+00
1.550000000000000000e+01 7.351944127392940231e+00
1.550000000000000000e+01 7.351944127392940231e+00
1.550000000000000000e+01 6.856539468661569714e+00
1.800000000000000000e+01 6.856539468661569714e+00
1.800000000000000000e+01 7.351944127392940231e+00
1.800000000000000000e+01 7.503382838786222919e+00
