# time (h), sH1N1 (log10 [SIN/ml])
0.000000000000000000e+00 nan
0.000000000000000000e+00 1.707386628861060185e+00
0.000000000000000000e+00 nan
3.166666999999999899e+00 2.077612788336366645e+00
3.166666999999999899e+00 1.707386628861060185e+00
3.166666999999999899e+00 nan
6.000000000000000000e+00 nan
6.000000000000000000e+00 nan
6.000000000000000000e+00 1.707386628861060185e+00
1.858333000000000013e+01 2.856511682596209578e+00
1.858333000000000013e+01 2.856511682596209578e+00
1.858333000000000013e+01 3.089311892135190085e+00
2.850000000000000000e+01 4.503292372465793392e+00
2.850000000000000000e+01 4.503292372465793392e+00
2.850000000000000000e+01 4.077612795070783669e+00
4.286666000000000309e+01 5.856539491103008643e+00
4.286666000000000309e+01 6.856790189518835454e+00
4.286666000000000309e+01 5.663262661766446548e+00
5.329999999999999716e+01 7.089312394111235704e+00
5.329999999999999716e+01 6.856511907862172350e+00
5.329999999999999716e+01 6.856511907862172350e+00
6.658334000000000685e+01 7.089312394111235704e+00
6.658334000000000685e+01 7.351864840639177778e+00
6.658334000000000685e+01 7.089312394111235704e+00
7.783334000000000685e+01 7.352665733065906650e+00
7.783334000000000685e+01 7.037233248597649649e+00
7.783334000000000685e+01 6.663415518860784204e+00
9.166665999999999315e+01 6.663415518860784204e+00
9.166665999999999315e+01 6.663415518860784204e+00
9.166665999999999315e+01 6.503382824943662044e+00
9.908334000000000685e+01 6.503382824943662044e+00
9.908334000000000685e+01 7.089835930414249532e+00
9.908334000000000685e+01 6.856790189518835454e+00
1.478333000000000084e+02 6.267987166489291440e+00
1.478333000000000084e+02 5.856539491103008643e+00
1.478333000000000084e+02 5.856539491103008643e+00
